,MMM,ALK,ALLE,AAL,AME,AOS,ARNC,BA,CHRW,CAT,CTAS,CPRT,CSX,CMI,DE,DAL,DOV,ETN,EMR,EFX,EXPD,FAST,FDX,FLS,FLR,FTV,FBHS,GD,GE,GWW,HRS,HON,HII,INFO,ITW,IR,JEC,JBHT,JCI,KSU,LLL,LMT,MAS,NLSN,NSC,NOC,PCAR,PH,PNR,PWR,RTN,RSG,RHI,ROK,ROL,ROP,SNA,LUV,SWK,TXT,TDG,UNP,UAL,UPS,URI,UTX,VRSK,WAB,WM,XYL
1998-01-02,83.5,,,,26.44,42.88,71.25,48.88,23.13,49.0,40.0,18.13,53.75,59.81,57.44,,35.88,87.44,56.56,35.31,39.0,40.75,60.81,27.5,,,,85.81,74.0,97.63,45.0,39.5,,,59.5,41.06,25.56,18.63,44.75,31.44,,98.0,50.69,,30.25,114.9,51.94,45.69,34.75,,52.25,,39.38,53.75,20.44,29.0,42.38,24.25,45.56,62.63,,62.25,,,20.06,73.13,,24.94,38.71,
1998-01-05,83.38,,,,26.38,42.62,72.5,48.63,22.5,49.69,42.31,18.0,54.06,59.75,56.44,,36.06,88.88,57.25,34.69,38.38,42.69,61.13,26.56,,,,87.06,75.31,97.75,45.31,39.0,,,59.38,40.0,25.63,18.69,45.5,30.75,,98.69,51.0,,31.0,116.0,53.88,45.38,36.88,,51.44,,38.56,52.94,20.5,27.75,42.19,25.38,45.38,62.19,,62.31,,,18.81,73.06,,25.62,38.34,
1998-01-06,83.63,,,,27.0,42.44,70.8752,47.88,21.69,49.31,40.88,17.94,54.5,58.75,56.25,,36.06,90.25,56.69,34.88,38.25,41.0,63.88,27.13,,,,86.88,74.31,98.31,44.94,39.19,,,58.56,40.25,25.94,18.75,45.5,31.19,,99.0,50.63,,31.0,116.2,53.0,45.56,36.62,,50.06,,38.06,53.56,20.19,26.31,42.13,24.5,44.19,60.94,,61.69,,,19.38,72.25,,25.5,38.78,
1998-01-07,84.31,,,,26.25,42.12,71.0,48.13,22.25,48.44,41.5,17.88,54.75,58.13,55.56,,35.25,90.38,57.25,34.25,37.38,40.0,64.63,27.38,,,,87.0,74.94,98.31,43.63,39.0,,,57.69,39.88,25.81,18.31,44.56,30.81,,104.1,50.94,,31.5,122.5,50.81,46.31,36.88,,48.62,,37.94,52.0,20.13,27.94,42.25,25.44,44.19,59.94,,63.38,,,18.88,72.0,,25.0,38.53,
1998-01-08,83.31,,,,26.38,41.44,68.0,46.38,23.0,46.81,43.69,17.75,54.19,55.56,53.81,,34.88,91.19,57.38,35.31,36.63,39.06,64.88,27.81,,,,86.38,74.25,98.31,44.81,38.5,,,55.69,39.0,25.81,18.38,44.38,29.88,,101.6,51.0,,30.75,120.0,49.25,47.63,36.75,,49.0,,36.63,50.88,20.88,28.13,41.56,25.0,44.13,60.0,,63.0,,,18.44,71.38,,24.94,37.46,
1998-01-09,82.63,,,,25.88,40.5,66.25,45.13,22.0,45.44,42.63,17.56,51.87,52.38,50.81,,34.06,86.06,56.75,33.62,36.19,34.88,62.56,27.13,,,,85.0,72.44,93.88,43.31,37.19,,,53.56,36.94,25.0,17.5,43.0,28.12,,99.88,50.13,,30.0,117.4,48.56,44.38,36.0,,46.75,,35.25,48.75,20.37,25.63,40.63,24.0,42.94,58.25,,60.13,,,18.25,68.5,,24.5,36.84,
1998-01-12,82.81,,,,25.38,40.31,66.1252,45.38,21.38,46.44,41.38,17.38,52.69,53.69,52.69,,34.25,87.69,57.88,34.12,35.0,35.94,62.5,26.63,,,,86.19,74.44,95.38,42.69,36.25,,,53.31,37.31,25.25,17.5,44.13,28.12,,100.5,49.94,,30.5,117.4,48.16,45.94,35.81,,47.81,,35.5,48.94,19.81,25.31,40.44,25.0,44.0,58.81,,61.44,,,17.81,69.69,,23.38,35.97,
1998-01-13,84.13,,,,26.13,40.63,66.0,45.06,21.75,46.06,41.56,17.5,53.13,53.63,51.94,,34.06,89.06,58.81,34.0,34.63,36.97,63.25,26.94,,,,86.94,74.69,94.81,43.88,36.75,,,52.62,38.19,25.94,17.75,44.69,29.0,,100.3,51.0,,30.75,117.6,48.13,47.06,35.75,,48.81,,37.94,50.63,19.81,25.81,39.63,25.13,43.69,59.25,,60.63,,,19.88,70.94,,23.0,36.09,
1998-01-14,84.06,,,,26.5,42.06,66.1876,46.25,21.44,46.38,41.0,17.44,53.25,54.56,53.0,,35.25,90.31,60.81,34.0,34.44,37.13,62.63,27.88,,,,85.63,74.37,96.81,44.13,37.88,,,55.62,38.63,26.44,17.75,44.88,29.69,,99.94,50.81,,30.44,117.6,49.63,47.0,36.06,,49.44,,37.06,50.94,20.0,27.69,40.0,24.94,43.88,58.94,,60.13,,,20.63,72.38,,23.31,36.84,
1998-01-15,82.5,,,,25.75,41.81,65.9376,44.13,21.5,45.5,40.25,18.13,52.88,54.69,51.5,,34.75,90.69,61.69,33.81,34.0,38.25,63.5,27.25,,,,85.31,72.69,94.88,43.56,36.62,,,54.88,38.75,26.19,17.69,45.38,28.44,,99.44,51.0,,30.19,117.0,49.38,48.44,35.69,,50.44,,37.19,51.63,19.94,27.06,40.06,24.56,43.56,58.25,,59.69,,,21.13,70.88,,23.25,37.84,
1998-01-16,83.25,,,,26.5,41.88,66.5,43.44,22.25,45.31,41.75,18.25,52.75,54.56,51.94,,34.5,92.44,61.94,34.0,35.0,38.63,65.88,27.94,,,,85.13,73.37,96.94,44.81,36.31,,,55.75,39.75,27.0,18.0,44.63,29.25,,99.69,50.94,,30.13,117.3,51.0,47.88,35.62,,50.62,,37.0,52.0,20.25,27.25,40.56,25.44,44.13,58.25,,59.75,,,21.38,71.25,,23.44,37.78,
1998-01-20,83.25,,,,26.44,42.69,68.3124,43.5,23.13,45.0,43.0,18.03,53.37,56.25,52.94,,35.31,88.75,62.69,35.31,36.0,41.25,66.44,27.81,,,,85.31,75.56,98.13,46.44,35.69,,,57.94,39.19,27.81,18.06,45.69,29.44,,100.1,50.94,,31.5,117.9,51.5,42.19,35.5,,51.5,,38.38,52.88,20.19,27.19,40.94,27.13,46.06,57.25,,59.94,,,21.94,71.38,,24.0,36.96,
1998-01-21,82.38,,,,26.44,42.56,68.6252,44.0,23.0,46.88,42.5,18.0,51.56,53.25,51.63,,35.38,89.75,62.25,33.94,35.88,41.5,66.0,27.31,,,,84.63,75.56,96.63,45.38,36.31,,,56.44,38.81,27.56,17.88,44.69,28.81,,101.9,51.06,,31.38,119.9,50.06,43.75,35.25,,52.0,,38.81,52.56,20.13,27.19,40.25,28.0,45.13,57.56,,59.0,,,22.25,71.63,,23.69,36.09,
1998-01-22,80.75,,,,27.0,42.62,67.6252,45.25,22.63,45.56,42.75,17.75,50.0,53.56,51.19,,33.81,89.44,62.44,33.5,35.63,41.31,65.69,27.25,,,,85.75,75.19,95.31,44.75,36.81,,,56.12,38.19,27.19,18.19,44.0,28.0,,104.0,51.0,,31.31,122.0,50.0,43.38,35.0,,50.88,,38.63,52.56,19.69,27.13,39.97,27.0,44.56,57.31,,58.19,,,22.06,74.63,,23.75,35.65,
1998-01-23,81.56,,,,27.06,42.0,69.1252,44.31,23.25,45.5,42.5,17.88,50.31,53.94,51.44,,34.13,88.38,62.13,32.12,33.69,42.19,64.0,27.25,,,,84.5,74.06,95.06,45.25,36.5,,,56.06,37.19,26.94,18.31,44.31,27.56,,103.8,49.56,,30.94,122.0,49.38,44.06,34.19,,50.0,,37.13,52.44,20.06,27.13,39.72,26.06,44.31,56.88,,58.0,,,21.75,74.69,,24.06,34.9,
1998-01-26,82.0,,,,26.0,43.0,69.5,44.44,22.88,45.63,42.06,17.75,50.69,53.69,50.75,,33.75,88.63,60.94,33.0,32.5,41.31,63.94,26.88,,,,87.0,74.69,95.56,44.63,37.12,,,56.06,37.63,27.0,18.31,43.81,27.0,,105.0,49.31,,30.31,123.3,49.06,43.5,34.75,,52.0,,37.5,52.63,20.0,27.38,39.63,26.25,44.56,56.88,,58.25,,,21.88,78.31,,24.12,34.72,
1998-01-27,80.56,,,,26.38,42.62,69.9376,45.0,22.5,46.38,42.5,17.63,51.44,53.63,49.38,,33.0,88.13,61.69,32.25,30.75,42.81,64.13,26.81,,,,86.75,76.25,96.25,45.44,36.81,,,56.38,37.31,27.0,19.5,43.38,28.5,,105.4,49.5,,30.5,123.8,49.25,43.63,34.62,,53.06,,37.5,54.13,20.62,27.31,40.38,25.63,44.94,56.75,,58.19,,,22.19,78.94,,24.0,34.97,
1998-01-28,84.5,,,,26.75,42.0,72.1252,47.06,22.63,48.13,43.25,17.63,51.94,55.25,51.0,,33.31,87.81,61.63,32.69,31.13,44.25,66.44,26.88,,,,85.06,76.25,96.13,45.31,39.31,,,56.56,37.81,27.19,23.88,43.88,28.75,,105.6,49.44,,31.69,124.6,50.75,43.5,34.69,,52.94,,38.69,54.06,21.06,28.94,39.88,27.63,44.5,58.0,,58.75,,,23.0,81.31,,24.38,36.03,
1998-01-29,85.31,,,,26.94,42.31,75.75,47.5,22.88,48.5,42.75,18.25,52.88,53.13,52.25,,34.44,91.06,60.63,33.94,31.63,45.13,65.63,27.0,,,,85.38,77.12,96.13,46.31,39.56,,,57.31,39.5,27.25,21.75,44.44,29.38,,105.3,49.38,,32.0,123.8,50.88,43.44,34.69,,53.19,,39.0,54.69,20.75,29.0,40.63,26.94,44.69,59.5,,60.19,,,23.63,82.63,,24.69,36.34,
1998-01-30,83.5,,,,26.06,42.0,76.3752,47.63,22.88,48.0,41.75,17.88,53.0,53.5,52.75,,34.06,89.75,60.5,32.88,31.13,43.94,65.06,26.88,,,,86.63,77.5,96.25,47.63,38.94,,,55.62,39.88,26.94,22.0,44.38,30.0,,104.1,49.25,,31.56,122.6,50.5,43.69,34.25,,52.12,,38.63,55.88,20.44,29.81,39.19,26.06,44.25,59.81,,60.0,,,23.88,81.25,,24.75,36.71,
1998-02-02,86.88,,,,26.06,42.94,78.0624,48.31,24.0,50.25,43.06,17.13,53.94,54.56,54.81,,35.38,93.13,61.63,34.31,32.25,43.13,67.44,27.81,,,,88.44,78.56,98.69,47.5,40.5,,,57.0,42.13,27.0,24.0,44.94,31.62,,107.3,50.0,,32.38,126.1,53.94,44.44,35.69,,53.81,,41.0,55.69,20.37,30.88,39.56,27.94,46.25,62.13,,60.25,,,24.5,84.5,,24.56,36.71,
1998-02-03,88.38,,,,26.56,43.0,77.0624,48.31,24.0,50.5,42.13,17.63,54.5,54.88,54.13,,35.31,94.13,61.25,33.06,33.0,43.88,67.75,28.69,,,,88.38,77.56,98.0,47.38,40.56,,,56.94,43.0,28.06,25.13,45.94,30.56,,107.6,50.5,,33.06,126.7,57.16,43.5,36.12,,54.5,,40.19,56.06,20.37,30.94,39.75,27.38,45.5,63.63,,59.75,,,24.31,85.31,,24.75,35.97,
1998-02-04,87.81,,,,26.94,43.0,76.1252,47.44,23.63,49.88,42.0,17.75,55.38,54.94,54.13,,35.19,92.88,61.69,32.19,34.88,44.5,68.94,29.19,,,,87.44,76.87,97.56,47.75,40.88,,,56.25,42.38,28.19,26.0,46.0,30.75,,110.1,50.81,,33.19,129.8,56.13,44.06,37.0,,54.69,,41.94,56.94,20.25,31.44,39.63,27.63,46.94,65.44,,61.44,,,25.5,84.63,,24.38,36.15,
1998-02-05,87.5,,,,26.94,43.69,75.5624,46.81,23.5,48.88,40.0,18.13,56.06,55.31,53.75,,35.06,93.31,62.13,32.19,33.88,44.56,66.56,28.94,,,,87.44,76.69,98.25,47.81,41.0,,,56.25,43.0,29.31,26.63,46.06,31.06,,109.1,50.69,,33.0,128.7,56.0,44.81,38.62,,54.31,,41.75,57.75,20.37,31.56,40.13,27.63,45.88,64.75,,61.81,,,24.94,84.63,,24.5,35.97,
1998-02-06,87.56,,,,27.0,43.56,75.9376,46.44,23.75,50.75,42.13,18.0,57.56,55.88,54.5,,35.19,93.63,63.94,31.94,34.25,45.63,66.19,28.75,,,,87.88,77.69,98.0,47.63,41.25,,,56.5,44.06,28.94,25.19,46.38,31.56,,110.1,50.94,,33.56,129.9,56.44,45.38,38.0,,54.5,,43.63,59.75,20.0,32.56,40.13,28.06,46.13,65.94,,63.0,,,25.63,84.81,,24.94,35.9,
1998-02-09,87.13,,,,27.38,43.38,75.25,46.38,24.25,52.5,41.25,17.94,57.06,56.0,55.63,,35.88,94.13,64.81,32.38,36.5,46.63,67.69,28.75,,,,88.5,77.06,97.19,47.81,41.19,,,56.0,44.88,29.25,26.5,46.0,31.06,,109.8,51.06,,33.94,129.2,57.91,45.69,38.56,,54.0,,44.31,60.25,20.44,33.25,40.0,28.94,46.44,67.88,,61.31,,,26.0,84.38,,24.88,34.72,
1998-02-10,86.0,,,,27.25,43.75,76.0,48.63,25.0,51.63,43.13,17.94,57.44,55.81,56.06,,37.38,93.0,63.75,32.62,39.38,46.94,68.06,29.44,,,,89.0,77.5,99.13,49.25,42.88,,,55.81,44.31,29.63,26.38,46.25,32.0,,110.5,51.44,,33.69,131.4,58.19,45.19,39.12,,54.56,,44.81,59.44,20.5,32.88,40.0,29.63,46.5,68.75,,59.25,,,26.5,87.0,,24.5,34.9,
1998-02-11,87.88,,,,27.13,43.56,75.6876,49.19,23.0,51.38,43.5,18.0,58.5,55.94,55.81,,36.63,92.44,63.94,33.81,41.88,47.75,67.0,30.56,,,,87.75,78.44,99.13,50.25,42.19,,,56.06,43.88,29.75,26.38,45.5,32.81,,110.1,50.94,,34.38,130.1,60.0,45.13,39.19,,54.38,,44.63,59.38,20.31,32.63,40.0,29.56,46.44,68.06,,59.75,,,27.13,86.44,,24.19,36.03,
1998-02-12,88.69,,,,27.25,43.19,76.9376,49.25,23.63,52.0,43.63,18.38,59.44,55.56,56.69,,36.5,91.5,63.81,34.25,41.94,47.88,68.56,31.63,,,,87.56,78.5,99.88,49.75,42.0,,,57.0,44.88,29.25,26.94,46.81,34.44,,111.0,51.0,,35.0,130.9,59.44,45.5,41.06,11.25,54.75,,44.13,59.5,20.37,31.44,40.0,30.06,47.0,67.94,,59.56,,,26.5,87.25,,24.5,38.46,
1998-02-13,88.0,,,,27.13,43.25,76.8752,50.38,23.75,53.56,43.75,18.38,59.0,56.06,57.5,,36.31,91.06,63.06,33.38,41.63,46.75,68.38,31.31,,,,87.94,77.81,98.88,49.94,42.44,,,56.56,44.38,29.63,27.0,46.94,33.62,,110.8,51.0,,34.75,131.1,59.0,44.81,40.56,11.25,54.25,,43.75,58.75,20.19,31.44,39.69,29.94,46.94,69.69,,58.81,,,26.06,85.88,,24.5,37.9,
1998-02-17,88.13,,,,26.88,43.25,75.9376,52.5,23.63,53.88,44.25,17.75,59.0,57.19,56.25,,36.19,92.44,63.5,34.06,42.88,45.56,67.88,31.06,,,,88.75,78.06,97.81,50.88,42.12,,,56.88,44.69,29.5,25.75,47.44,33.81,,110.4,51.13,,35.31,130.3,59.88,45.13,40.75,11.75,54.12,,43.75,58.75,20.0,30.13,40.31,30.0,46.69,69.75,,60.06,,,26.88,86.56,,25.44,37.84,
1998-02-18,87.88,,,,27.25,43.0,74.5,51.75,23.63,52.75,45.0,17.56,58.44,57.44,55.81,,37.69,92.31,63.63,34.19,42.13,45.63,67.25,30.94,,,,88.88,78.44,99.0,50.81,42.38,,,57.19,44.38,29.5,26.25,48.31,33.69,,111.1,50.94,,35.63,130.2,64.38,45.31,40.62,12.5,54.25,,44.06,59.94,20.19,31.25,40.94,29.25,47.0,69.25,,60.56,,,25.81,86.25,,25.69,38.03,
1998-02-19,87.5,,,,27.13,42.94,73.5,50.81,23.38,51.88,45.44,17.94,57.87,57.63,55.94,,37.69,92.25,63.0,34.44,40.13,46.25,65.75,30.25,,,,87.5,77.81,98.31,51.31,42.19,,,56.44,43.94,30.0,25.44,48.75,34.94,,110.1,50.19,,35.38,130.5,66.0,45.06,40.75,12.25,54.19,,44.31,59.38,20.5,27.38,41.06,28.69,46.06,68.19,,60.5,,,24.56,85.44,,25.88,38.03,
1998-02-20,87.94,,,,27.13,42.81,72.25,50.13,23.13,52.63,46.0,18.0,58.12,58.25,56.75,,37.31,93.0,62.69,34.19,42.0,46.06,65.63,30.44,,,,86.63,78.19,97.75,51.0,42.12,,,57.12,44.0,30.13,25.63,47.81,34.62,,111.8,51.19,,36.13,132.4,66.56,45.38,40.5,11.69,55.44,,44.31,60.0,20.44,28.44,41.13,27.75,46.06,68.5,,60.81,,,24.63,86.19,,25.38,37.71,
1998-02-23,86.0,,,,27.19,43.38,70.75,50.69,22.88,52.06,45.5,17.88,57.87,57.19,56.0,,37.0,93.5,62.69,34.12,41.81,47.25,66.0,31.63,,,,86.25,77.69,96.75,50.81,42.06,,,57.0,44.0,29.81,26.0,47.31,36.62,,111.9,51.44,,35.94,132.0,65.75,45.69,39.88,11.88,55.56,,44.38,59.88,20.62,28.44,41.31,28.94,46.06,70.56,,59.63,,,25.31,85.81,,24.81,36.65,
1998-02-24,84.75,,,,27.13,42.75,70.8124,50.31,22.0,52.56,44.0,17.5,57.0,56.44,55.19,,36.94,94.0,62.44,34.75,42.75,46.75,65.0,31.94,,,,85.81,76.75,96.69,49.88,41.44,,,57.0,44.75,29.69,25.13,48.56,36.44,,110.4,51.25,,35.31,130.4,65.25,44.69,40.69,11.5,54.94,,44.31,57.44,20.37,29.38,41.38,28.44,45.88,69.31,,58.06,,,25.19,84.81,,24.38,37.53,
1998-02-25,85.25,,,,27.13,42.88,71.8124,51.25,22.38,53.13,44.0,18.06,56.5,56.5,55.06,,37.5,95.38,63.94,34.62,43.25,46.69,67.25,32.38,,,,85.5,77.12,97.38,50.38,42.12,,,58.31,45.81,29.63,25.81,48.31,37.12,,113.8,52.31,,35.31,134.1,65.28,46.38,40.44,11.5,57.38,,45.0,59.88,20.69,29.38,42.06,29.13,47.06,72.13,,58.63,,,25.44,87.5,,24.5,38.28,
1998-02-26,86.25,,,,27.25,43.56,72.25,53.94,21.88,53.19,44.38,18.0,56.37,56.94,56.38,,39.19,96.63,63.56,35.44,42.0,43.81,66.06,32.13,,,,85.69,77.0,97.19,51.94,42.81,,,59.25,47.19,29.69,26.63,49.5,37.19,,116.5,53.88,,34.81,138.3,65.13,46.44,40.19,11.94,57.94,,45.38,59.56,20.75,29.44,43.06,29.0,46.94,74.56,,52.06,,,25.13,89.94,,25.0,40.02,
1998-02-27,85.31,,,,26.88,43.5,73.3752,54.25,22.75,54.56,42.5,18.06,55.94,57.88,56.13,,38.63,96.06,63.81,35.94,40.5,43.88,63.69,31.69,,,,87.25,77.75,96.81,50.75,42.56,,,59.94,47.63,29.94,26.75,50.63,37.19,,116.7,54.38,,34.44,139.0,63.31,46.63,41.19,11.94,58.81,,45.25,60.5,20.62,29.06,42.5,28.69,47.81,74.94,,51.13,,,24.69,89.31,,25.25,41.59,
1998-03-02,89.0,,,,27.19,43.88,70.8752,52.75,21.63,53.56,43.25,17.88,56.44,57.56,57.0,,38.19,95.69,64.44,35.25,40.38,43.81,63.63,32.25,,,,86.0,76.56,98.0,50.06,42.38,,,60.75,47.0,30.19,26.88,50.75,37.44,,115.5,54.75,,34.38,137.1,64.03,46.81,41.25,11.94,58.75,,45.69,59.0,20.69,29.44,42.25,29.06,48.38,74.5,,50.75,,,24.94,90.13,,24.75,41.46,
1998-03-03,88.75,,,,27.19,43.0,72.3124,52.38,21.5,52.56,45.0,17.38,57.0,57.44,56.44,,38.19,95.69,64.25,35.75,40.75,43.38,65.0,33.31,,,,85.38,77.25,98.13,50.13,42.38,,,62.75,47.69,30.38,27.0,52.38,37.31,,114.3,54.38,,34.31,135.6,65.13,46.25,41.0,12.5,59.12,,46.38,57.88,20.75,29.06,43.19,29.75,48.75,73.81,,49.44,,,25.5,90.19,,25.38,40.52,
1998-03-04,89.88,,,,27.13,43.25,71.6876,53.31,21.63,52.06,45.63,17.38,56.62,57.31,57.13,,38.44,96.69,63.44,35.81,40.56,43.13,64.25,32.69,,,,86.88,76.31,97.19,50.31,42.19,,,61.31,47.13,30.31,26.88,52.94,37.44,,114.0,54.63,,34.25,134.9,64.88,47.19,40.56,12.25,59.38,,47.13,58.88,20.69,28.75,42.94,29.19,48.63,73.5,,50.75,,,26.38,89.25,,25.12,40.27,
1998-03-05,88.94,,,,26.75,42.38,70.8124,52.25,21.63,51.19,46.5,16.88,55.5,56.44,56.88,,38.31,95.63,63.63,35.88,40.13,42.88,64.0,32.88,,,,86.88,76.37,97.19,49.44,41.5,,,60.31,46.25,30.13,26.38,52.44,37.0,,113.9,55.13,,33.94,134.6,63.78,46.69,41.5,12.06,59.0,,46.56,58.5,20.44,28.63,42.69,28.81,48.19,72.19,,50.63,,,25.56,88.75,,26.0,39.59,
1998-03-06,89.56,,,,26.88,43.69,71.6252,52.44,21.75,53.31,49.0,17.0,56.0,57.56,58.0,,39.44,95.63,66.13,37.0,41.0,43.5,65.5,32.69,,,,88.06,78.25,99.0,50.0,41.69,,,62.0,47.0,30.13,28.06,53.0,37.88,,115.2,56.25,,35.44,137.6,64.63,47.0,42.75,12.13,60.0,,46.81,59.63,20.5,28.5,42.38,29.88,49.81,73.25,,50.63,,,25.56,89.88,,26.5,38.59,
1998-03-09,89.88,,,,27.06,43.75,71.4376,52.56,21.75,53.0,47.19,17.63,56.19,56.94,56.88,,38.69,95.25,65.13,36.38,40.25,43.59,66.38,31.25,,,,87.31,78.5,98.44,49.38,42.12,,,61.62,46.75,30.0,27.56,52.25,38.19,,116.0,57.19,,35.94,117.5,65.0,45.75,42.12,11.88,59.94,,46.5,58.0,20.75,28.56,42.56,30.31,49.38,73.63,,50.25,,,25.56,90.56,,26.38,39.21,
1998-03-10,90.13,,,,27.44,43.69,73.25,52.38,21.5,54.0,48.13,17.13,56.5,56.88,56.81,,39.0,96.5,64.75,36.62,40.5,44.5,67.88,31.31,,,,87.75,78.75,99.31,51.0,42.19,,,61.69,46.69,30.19,27.0,52.75,38.25,,112.4,58.5,,36.69,114.0,65.0,47.0,42.56,11.88,60.0,,46.5,57.81,21.0,28.94,42.88,30.25,49.31,72.94,,51.75,,,25.13,90.63,,26.5,39.09,
1998-03-11,90.56,,,,27.75,43.94,72.3124,52.19,22.06,54.06,49.5,17.38,56.44,56.13,57.63,,38.5,95.88,65.0,36.94,41.0,46.19,66.88,31.88,,,,88.13,79.0,101.3,51.44,42.12,,,61.56,47.25,30.94,27.5,52.75,38.19,,116.1,59.0,,36.38,115.3,64.13,48.13,42.31,11.94,60.06,,46.88,59.56,20.94,29.5,42.81,30.0,49.63,71.94,,51.94,,,25.13,90.44,,27.19,42.96,
1998-03-12,90.19,,,,28.13,43.5,71.3752,51.5,22.13,56.0,50.38,17.69,56.19,58.63,57.13,,37.5,96.19,64.5,36.25,40.25,45.78,67.63,32.13,,,,87.81,79.19,100.6,51.13,41.62,,,61.75,47.81,30.69,27.63,53.63,38.5,,114.7,59.69,,36.56,113.7,63.06,49.0,42.25,12.44,60.06,,47.06,59.38,20.94,29.19,43.25,30.5,51.25,72.0,,51.25,,,25.38,89.88,,27.5,44.96,
1998-03-13,89.75,,,,29.0,43.75,69.9376,51.81,22.75,56.19,50.38,17.25,56.69,59.94,56.88,,38.06,94.75,63.69,36.38,40.25,47.0,69.0,32.31,,,,87.63,78.31,99.38,50.5,40.62,,,62.44,47.81,31.06,27.13,54.38,38.12,,114.5,58.88,,36.38,113.9,62.66,49.44,42.62,13.0,59.94,,47.44,59.81,21.0,28.44,43.63,30.88,50.88,71.75,,51.75,,,25.5,90.25,,27.62,44.83,
1998-03-16,91.5,,,,29.5,43.88,72.0624,51.44,23.63,57.81,51.25,17.25,57.12,61.13,58.69,,38.13,95.5,64.25,37.0,41.38,46.75,70.69,32.56,,,,88.38,79.37,100.2,52.31,41.06,,,63.06,47.94,31.38,28.38,56.0,38.0,,114.0,59.31,,37.0,112.9,64.88,49.81,42.12,12.75,59.62,,47.81,60.75,21.31,28.25,43.56,31.06,52.0,73.94,,53.06,,,25.06,90.94,,27.5,45.96,
1998-03-17,93.31,,,,29.31,44.0,72.8124,52.0,23.0,57.5,49.0,17.38,57.87,61.06,59.25,,37.88,98.0,64.88,36.5,40.75,46.25,72.94,32.81,,,,90.5,80.0,101.3,50.81,41.62,,,62.44,48.25,31.69,29.81,55.63,40.5,,116.4,59.56,,38.25,110.0,64.34,49.06,42.44,12.25,60.0,,47.25,59.38,21.0,27.31,43.06,31.94,52.0,74.13,,52.81,,,25.63,90.88,,27.38,46.71,
1998-03-18,93.75,,,,29.56,43.88,72.6252,50.88,23.13,58.06,51.13,17.44,57.69,62.06,59.31,,37.69,98.31,64.75,36.75,43.5,46.25,73.38,32.81,,,,89.5,79.69,102.0,51.63,42.06,,,61.75,48.25,31.56,30.0,55.0,40.75,,115.6,58.81,,38.94,107.5,64.5,48.31,42.19,12.38,60.06,,47.19,60.5,20.94,27.56,42.94,31.06,52.0,73.94,,52.56,,,24.25,91.63,,27.38,45.96,
1998-03-19,94.19,,,,29.63,43.69,74.25,51.44,23.5,56.06,51.63,17.25,59.31,61.69,60.56,,37.88,98.06,64.0,37.31,43.0,44.94,71.06,33.31,,,,91.31,80.06,101.3,53.38,42.25,,,61.62,48.38,31.69,29.63,55.44,42.0,,116.1,59.69,,40.0,108.9,65.06,49.75,43.31,12.63,60.38,,47.56,54.44,20.81,27.63,44.06,31.0,53.0,75.13,,54.25,,,24.5,92.25,,27.5,45.46,
1998-03-20,93.69,,,,29.5,43.56,73.1876,53.44,23.5,56.06,51.53,16.5,59.31,56.13,61.69,,38.25,98.38,65.63,37.19,42.88,44.0,70.0,33.06,,,,90.81,81.62,102.8,52.94,42.38,,,61.81,49.0,31.69,29.75,56.5,43.75,,117.0,58.25,,40.38,107.0,63.63,50.19,43.38,12.94,60.69,,47.63,54.5,20.75,27.06,44.13,30.13,53.31,75.5,,54.63,,,23.5,93.0,,28.12,45.33,
1998-03-23,94.06,,,,29.31,44.13,72.1876,51.63,23.25,56.25,51.5,15.88,58.75,55.25,61.56,,38.19,97.69,65.38,36.62,43.5,43.94,68.0,32.88,,,,89.06,80.44,103.0,53.0,42.25,,,61.62,48.0,31.63,28.38,55.81,42.69,,116.6,58.19,,39.0,107.5,62.88,50.75,43.12,15.0,60.38,,47.19,53.75,20.62,25.94,44.38,28.38,52.75,77.88,,54.0,,,21.94,92.63,,27.19,44.89,
1998-03-24,94.94,,,,29.63,44.31,71.6252,52.38,24.0,56.56,51.63,15.44,58.62,55.19,62.75,,38.13,96.75,65.75,36.81,43.0,44.38,67.31,32.0,,,,89.38,82.62,101.2,53.63,42.88,,,62.5,48.81,32.0,29.0,55.63,43.56,,115.3,58.31,,39.19,106.9,63.5,51.81,43.38,14.5,60.19,,47.25,54.69,20.69,26.31,45.19,29.06,53.13,77.81,,54.5,,,24.38,92.63,,27.56,44.96,
1998-03-25,95.5,,,,29.63,44.0,72.1876,52.88,23.5,55.44,52.63,15.0,58.62,55.06,62.88,,38.13,96.81,64.13,36.5,42.38,45.25,65.0,33.0,,,,88.06,82.0,102.4,54.38,42.81,,,64.25,48.31,31.56,28.44,56.38,43.75,,115.3,58.19,,38.75,105.5,63.75,51.56,44.62,15.88,60.31,,47.56,56.38,20.62,26.75,45.19,29.5,52.63,78.0,,55.0,,,24.88,92.38,,27.56,44.52,
1998-03-26,95.56,,,,29.63,44.06,71.75,52.13,23.5,54.75,52.0,16.75,58.81,54.81,63.0,,37.75,96.75,63.63,36.19,41.63,45.88,69.31,33.0,,,,88.19,82.44,102.3,53.63,42.19,,,64.19,47.69,31.94,28.38,56.06,44.38,,115.0,58.13,,37.63,105.0,63.38,51.38,45.25,16.0,60.38,,47.63,56.69,20.62,27.88,44.88,28.75,52.69,77.38,,54.25,,,24.25,91.5,,27.75,44.83,
