,APD,ALB,AVY,BLL,CE,CF,DOW,DWDP,EMN,ECL,FMC,FCX,IP,IFF,LIN,LYB,MLM,MOS,NEM,NUE,PKG,PPG,SEE,SHW,VMC,WRK
1998-01-02,83.56,24.06,44.38,35.31,,,,,60.13,55.56,67.69,15.94,45.1875,51.31,,,37.0,33.5,30.0,49.06,,57.5,61.75,27.88,101.2,
1998-01-05,83.63,24.06,44.06,35.13,,,,,60.25,56.06,67.5,15.75,46.125,50.88,,,37.13,32.06,28.56,48.5,,57.94,62.44,27.69,102.1,
1998-01-06,81.81,23.75,44.0,34.5,,,,,60.13,55.56,67.5,15.5,46.3125,46.94,,,37.25,31.75,28.81,46.75,,57.69,61.81,28.31,100.9,
1998-01-07,80.88,23.31,43.88,34.13,,,,,59.38,55.44,66.38,15.69,46.0,46.25,,,37.06,31.38,28.38,46.63,,57.63,60.75,28.0,99.13,
1998-01-08,79.81,23.06,42.81,33.69,,,,,59.13,55.0,65.75,15.19,44.75,45.5,,,37.31,31.25,26.69,46.63,,56.88,59.19,27.0,97.75,
1998-01-09,76.69,22.38,41.56,31.19,,,,,58.31,54.38,62.63,14.38,42.6875,44.25,,,36.31,29.69,25.31,44.5,,54.25,56.81,26.5,95.0,
1998-01-12,77.5,22.69,41.81,32.63,,,,,58.63,54.19,64.13,14.0,41.9375,44.5,,,36.31,30.31,23.88,46.0,,54.25,56.0,26.69,94.88,
1998-01-13,76.81,22.75,42.38,32.0,,,,,58.0,54.13,63.75,14.56,42.625,44.0,,,36.88,30.5,25.25,45.25,,53.31,55.81,26.75,96.19,
1998-01-14,77.31,22.13,42.75,30.94,,,,,58.69,54.13,64.0,14.38,42.9375,44.25,,,36.63,30.75,24.94,45.25,,54.44,57.0,27.13,97.25,
1998-01-15,77.69,21.88,42.13,30.94,,,,,58.25,53.69,62.88,14.19,42.0,45.06,,,36.25,30.88,26.0,45.06,,55.19,57.69,27.19,97.88,
1998-01-16,78.88,21.94,43.25,31.69,,,,,59.56,27.81,64.0,14.19,43.625,45.5,,,36.5,31.06,27.06,46.44,,56.13,59.31,27.31,98.81,
1998-01-20,79.0,22.13,42.56,31.19,,,,,59.44,27.63,64.31,14.19,45.9375,45.0,,,36.5,31.56,26.5,47.88,,57.38,61.13,27.19,99.31,
1998-01-21,78.5,21.88,43.25,32.0,,,,,58.81,27.56,64.06,14.0,45.4375,45.44,,,36.0,31.62,27.19,47.63,,57.0,60.19,26.75,98.38,
1998-01-22,78.69,21.75,42.63,30.5,,,,,58.94,27.69,64.06,13.44,45.625,44.88,,,36.19,31.19,26.69,46.69,,56.56,59.63,26.75,96.88,
1998-01-23,78.38,21.5,42.44,30.63,,,,,58.63,27.38,64.38,13.94,44.6875,43.63,,,36.31,30.56,30.06,45.75,,54.38,59.63,26.31,97.94,
1998-01-26,79.13,21.31,43.13,31.31,,,,,58.69,27.38,64.69,14.0,45.625,43.75,,,36.31,31.0,28.56,45.81,,56.0,58.75,26.94,99.56,
1998-01-27,80.5,21.69,43.63,31.0,,,,,58.19,27.31,65.31,14.38,45.6875,43.5,,,36.25,30.94,29.06,46.38,,57.06,60.5,28.0,99.38,
1998-01-28,79.81,22.44,43.81,31.75,,,,,58.81,27.19,66.56,14.5,47.5,43.94,,,37.0,31.5,29.38,47.94,,56.63,62.0,28.63,97.94,
1998-01-29,79.69,21.88,44.25,32.25,,,,,60.0,27.0,67.19,14.94,47.6875,43.25,,,37.81,32.25,28.06,47.75,,56.75,62.25,29.0,99.0,
1998-01-30,80.19,22.13,44.88,32.5,,,,,59.56,27.38,67.25,14.69,45.6875,42.25,,,38.0,32.25,28.5,47.63,,57.38,62.88,28.63,98.5,
1998-02-02,83.56,22.69,45.81,32.0,,,,,60.44,27.63,68.19,14.75,47.625,43.75,,,38.88,33.94,28.0,49.44,,59.13,63.5,28.88,99.81,
1998-02-03,84.19,22.75,46.38,32.5,,,,,60.44,27.75,68.19,14.56,48.9375,44.0,,,38.0,34.38,26.38,50.38,,59.06,63.5,29.38,99.69,
1998-02-04,83.38,22.75,47.19,32.56,,,,,60.13,27.25,68.88,15.19,47.625,43.5,,,37.81,34.44,27.75,49.88,,59.63,63.69,29.13,101.1,
1998-02-05,83.94,23.13,47.25,32.44,,,,,60.06,27.44,69.94,15.06,47.0,43.81,,,38.0,34.75,27.75,49.38,,59.88,63.75,28.81,100.3,
1998-02-06,84.75,22.94,48.0,32.13,,,,,60.0,27.63,69.81,15.5,47.75,43.31,,,38.31,33.81,28.25,49.06,,61.5,62.94,29.06,100.5,
1998-02-09,82.88,23.25,49.56,32.19,,,,,60.44,27.69,68.75,15.88,47.75,43.06,,,38.75,33.25,28.94,48.69,,60.56,61.44,29.44,101.5,
1998-02-10,86.0,23.13,49.69,32.06,,,,,62.13,28.19,70.63,15.94,47.5625,44.19,,,39.13,33.94,28.19,48.88,,60.19,61.63,30.31,101.5,
1998-02-11,84.88,23.75,49.13,32.13,,,,,62.75,28.13,71.13,15.56,48.1875,44.13,,,39.0,34.0,27.75,49.06,,60.81,61.63,30.13,99.88,
1998-02-12,85.44,23.88,49.38,31.88,,,,,63.31,28.13,71.19,15.44,48.0625,44.25,,,38.5,34.0,28.5,49.25,,61.38,61.0,30.38,98.0,
1998-02-13,86.0,23.69,49.38,31.94,,,,,62.63,27.94,71.06,15.25,48.125,44.0,,,38.38,35.0,28.88,48.88,,60.44,60.25,30.25,98.0,
1998-02-17,86.19,23.69,51.0,32.19,,,,,62.69,28.31,70.13,14.81,48.5,44.06,,,37.5,36.19,27.56,48.38,,61.0,60.5,30.94,98.13,
1998-02-18,86.88,23.56,51.31,32.31,,,,,63.13,28.25,71.56,14.94,48.4375,44.63,,,37.81,36.38,27.5,48.13,,61.88,61.0,31.56,99.13,
1998-02-19,86.94,23.88,51.81,32.19,,,,,63.69,27.81,70.38,14.38,47.75,44.88,,,37.81,37.0,27.25,48.0,,61.19,60.56,31.56,100.2,
1998-02-20,87.56,24.0,54.25,32.19,,,,,64.13,28.44,71.0,14.13,48.125,45.88,,,37.56,37.06,26.94,48.31,,62.0,60.19,31.69,99.88,
1998-02-23,86.94,24.31,53.06,32.25,,,,,63.75,28.44,70.81,13.81,47.5,45.75,,,37.31,37.12,27.0,49.19,,62.75,60.19,31.31,99.69,
1998-02-24,84.81,23.88,50.13,32.25,,,,,63.88,28.31,70.38,13.88,47.0,45.5,,,37.25,36.75,26.63,49.81,,63.56,59.69,30.81,98.31,
1998-02-25,84.25,23.38,49.94,32.69,,,,,64.75,28.69,70.81,14.63,47.375,45.81,,,37.38,36.56,27.06,50.0,,63.13,61.0,31.06,99.81,
1998-02-26,84.25,24.31,49.25,32.81,,,,,65.25,28.75,71.75,14.63,46.9375,46.13,,,38.13,37.25,28.69,50.69,,65.63,64.31,31.88,100.5,
1998-02-27,83.94,24.38,50.5,32.63,,,,,65.5,28.81,72.38,15.06,46.625,46.0,,,38.06,38.19,29.0,51.5,,64.81,67.31,33.44,100.6,
1998-03-02,83.69,24.44,50.0,32.88,,,,,65.94,29.06,73.13,15.25,48.125,46.25,,,38.19,38.62,28.75,52.25,,64.44,67.31,33.63,101.8,
1998-03-03,84.0,25.0,50.94,33.0,,,,,66.63,29.0,72.69,14.81,48.0,45.75,,,38.13,38.81,28.19,52.81,,64.94,66.88,34.0,101.3,
1998-03-04,83.5,24.44,51.06,32.75,,,,,65.94,28.88,70.5,14.31,48.5,46.06,,,37.81,38.19,27.94,53.06,,65.19,66.25,34.06,99.75,
1998-03-05,82.31,24.94,50.81,32.81,,,,,65.38,28.56,70.81,14.25,47.875,46.38,,,38.63,37.62,27.13,52.5,,65.25,66.69,33.88,99.31,
1998-03-06,82.06,24.69,51.69,33.13,,,,,66.06,29.13,71.56,14.13,48.875,47.63,,,39.63,36.88,27.75,52.44,,65.5,67.19,34.81,102.1,
1998-03-09,82.31,24.56,51.44,32.5,,,,,65.81,28.81,71.38,14.31,50.0625,48.06,,,39.88,37.0,28.69,51.94,,65.25,66.75,34.31,102.4,
1998-03-10,82.31,25.0,51.88,33.19,,,,,66.06,28.75,72.56,14.25,50.4375,48.06,,,40.94,37.06,28.81,52.19,,65.44,69.5,34.19,104.4,
1998-03-11,81.56,24.88,51.75,33.25,,,,,66.13,29.0,73.19,13.94,51.875,47.75,,,43.13,36.94,27.88,53.19,,65.5,68.75,34.38,103.4,
1998-03-12,82.31,24.69,52.19,32.81,,,,,65.5,28.44,72.88,14.0,51.625,47.0,,,43.0,37.12,27.94,52.81,,65.44,68.19,33.81,105.1,
1998-03-13,81.5,24.63,51.31,32.63,,,,,65.69,28.19,72.81,14.5,51.0,47.13,,,43.63,37.19,27.94,53.5,,64.5,68.06,34.25,104.6,
1998-03-16,82.38,25.19,51.38,32.63,,,,,66.13,28.38,73.38,15.5,52.5625,46.88,,,44.56,37.0,27.81,52.88,,66.88,68.06,35.06,106.2,
1998-03-17,82.75,25.0,51.63,32.69,,,,,66.94,29.13,74.25,16.5,51.75,47.44,,,46.69,36.75,27.0,55.5,,65.44,68.81,34.81,108.8,
1998-03-18,83.25,24.88,52.13,32.38,,,,,67.25,29.13,73.44,16.31,50.0,47.81,,,46.94,37.0,27.0,56.0,,66.06,67.81,34.5,110.6,
1998-03-19,83.25,25.0,52.25,31.88,,,,,67.25,29.0,74.38,16.88,50.0,46.81,,,47.06,37.12,27.19,56.75,,66.69,66.38,34.94,111.1,
1998-03-20,82.75,25.19,52.38,31.5,,,,,67.19,28.69,74.88,16.69,49.875,47.13,,,46.13,36.94,26.5,56.94,,66.63,66.75,34.63,110.4,
1998-03-23,83.38,25.25,52.75,31.88,,,,,67.13,28.75,75.25,17.69,49.625,45.88,,,44.69,37.06,28.88,56.63,,67.5,66.81,34.5,110.8,
1998-03-24,83.69,25.63,52.94,31.75,,,,,67.25,28.75,75.88,19.06,49.125,45.63,,,44.63,36.94,28.56,56.38,,67.69,66.38,34.88,111.2,
1998-03-25,83.5,25.19,53.31,32.38,,,,,67.25,28.38,76.31,19.31,49.0625,46.44,,,43.31,37.62,28.63,55.94,,67.63,67.19,34.88,113.5,
1998-03-26,82.63,24.81,52.81,32.5,,,,,67.31,28.38,76.94,19.13,48.9375,46.63,,,43.19,38.38,30.88,55.81,,67.88,66.5,34.69,110.0,
1998-03-27,82.0,24.75,52.0,32.75,,,,,66.88,28.31,77.94,20.13,48.5625,47.0,,,44.5,38.5,31.13,55.25,,67.0,66.25,34.5,109.3,
1998-03-30,81.69,25.0,52.5,32.75,,,,,66.75,28.44,78.0,20.44,48.75,47.0,,,43.44,37.75,30.63,54.75,,66.44,66.19,34.56,109.5,
1998-03-31,82.88,25.25,53.38,32.75,,,,,67.44,29.0,78.5,19.94,46.875,47.13,,,43.19,38.06,30.56,54.44,,67.94,65.5,35.63,109.5,
1998-04-01,82.5,25.56,53.94,33.25,,,,,67.75,29.44,80.81,19.13,48.5625,47.38,,,43.75,38.69,30.0,55.75,,68.75,64.69,37.0,111.6,
1998-04-02,82.75,26.0,55.0,33.69,,,,,68.88,29.63,82.0,19.19,49.9375,47.44,,,45.81,38.81,30.38,56.56,,69.13,65.38,37.5,111.4,
1998-04-03,82.88,25.5,54.06,33.81,,,,,68.81,29.69,81.38,20.06,49.3125,47.13,,,47.0,38.38,32.88,56.0,,68.81,65.19,37.0,109.2,
1998-04-06,83.25,25.0,54.0,33.44,,,,,68.13,29.75,80.31,21.06,49.0,47.0,,,46.88,37.44,33.06,56.13,,67.88,64.44,36.25,110.5,
1998-04-07,82.88,24.81,53.44,33.44,,,,,69.56,29.25,79.63,20.5,48.1875,46.31,,,46.88,37.44,31.94,56.06,,68.5,64.12,35.44,110.5,
1998-04-08,82.44,25.06,53.63,34.19,,,,,69.5,29.13,79.0,20.19,48.0,46.0,,,46.81,37.38,33.13,55.13,,68.31,63.44,35.25,108.1,
1998-04-09,82.88,24.81,53.94,35.56,,,,,70.19,29.5,79.31,19.63,48.1875,45.63,,,47.13,37.5,32.5,56.19,,69.25,63.0,35.56,110.3,
1998-04-13,82.13,24.94,53.31,35.31,,,,,69.63,28.63,79.0,20.5,51.0,45.69,,,47.25,37.62,32.31,57.38,,68.5,62.31,35.75,109.7,
1998-04-14,83.81,25.75,53.5,35.0,,,,,71.44,29.38,79.19,20.69,54.375,45.94,,,48.0,38.38,31.94,58.06,,70.25,63.94,36.0,112.7,
1998-04-15,85.5,25.31,54.63,35.06,,,,,72.5,30.0,78.88,20.31,53.5625,45.88,,,47.88,38.25,32.13,59.06,,70.5,63.56,35.75,112.6,
1998-04-16,85.19,25.31,54.63,35.5,,,,,72.63,29.88,78.5,20.31,53.875,45.5,,,47.63,37.62,32.44,57.63,,70.63,62.69,35.44,114.4,
1998-04-17,87.19,25.63,55.25,35.94,,,,,72.94,30.19,79.75,20.25,54.5625,46.81,,,48.75,37.25,31.75,58.56,,73.0,61.88,36.0,119.1,
1998-04-20,86.88,25.81,55.31,35.88,,,,,71.25,30.81,79.38,19.38,53.3125,47.25,,,47.94,37.31,31.38,59.06,,73.19,62.56,35.5,115.4,
1998-04-21,88.75,25.38,54.75,35.94,,,,,71.44,31.63,79.06,19.88,55.1875,47.69,,,48.75,37.88,33.38,58.5,,73.25,62.88,35.81,116.6,
1998-04-22,87.94,25.75,54.0,40.13,,,,,71.81,31.25,78.81,20.19,54.4375,48.5,,,48.38,37.44,34.63,58.13,,73.44,61.31,35.0,118.0,
1998-04-23,88.94,25.19,54.63,40.19,,,,,70.5,31.31,78.06,20.19,53.875,48.69,,,48.31,37.0,34.25,59.44,,71.69,61.13,33.94,115.3,
1998-04-24,89.06,24.88,54.94,39.0,,,,,68.88,31.06,77.06,20.0,53.0625,48.88,,,48.25,36.0,33.31,58.13,,70.44,58.25,33.38,114.3,
1998-04-27,88.06,24.63,52.5,38.81,,,,,69.06,30.88,76.38,19.44,51.3125,48.0,,,45.63,36.0,31.69,57.69,,70.19,58.75,33.06,111.1,
1998-04-28,87.19,24.75,52.25,38.88,,,,,67.88,30.94,76.31,19.25,52.0,48.0,,,47.19,35.38,32.0,57.0,,70.63,59.81,33.63,114.0,
1998-04-29,86.88,24.88,52.5,38.5,,,,,67.88,31.0,76.44,19.19,51.8125,48.69,,,46.63,34.75,32.88,58.19,,70.44,61.5,33.75,112.8,
1998-04-30,86.94,24.88,52.38,38.63,,,,,68.75,31.69,77.56,18.88,52.1875,48.94,,,46.94,36.0,32.19,59.94,,70.69,62.69,35.63,115.1,
1998-05-01,87.19,25.06,52.5,38.94,,,,,68.75,31.94,77.31,18.19,52.5625,49.94,,,48.0,36.12,31.0,60.06,,71.31,63.25,35.38,117.3,
1998-05-04,88.88,25.44,53.25,38.63,,,,,69.94,31.88,77.31,18.13,53.5,49.94,,,48.5,36.0,31.13,59.81,,71.69,63.06,35.13,116.0,
1998-05-05,88.13,24.56,52.75,38.25,,,,,69.06,32.25,76.63,18.0,52.375,49.88,,,48.13,36.0,31.31,59.94,,71.88,62.88,35.44,115.4,
1998-05-06,87.81,24.5,51.69,38.13,,,,,68.38,31.5,76.19,17.25,52.9375,49.38,,,47.0,35.69,31.0,59.38,,70.38,54.56,34.69,115.1,
1998-05-07,87.06,24.5,50.81,37.31,,,,,68.25,31.56,76.0,16.38,52.0625,49.38,,,46.44,34.75,30.0,57.88,,70.13,54.06,34.31,112.9,
1998-05-08,87.69,24.88,51.31,37.81,,,,,69.0,32.44,77.0,16.44,52.375,49.19,,,47.75,34.56,30.31,58.19,,71.56,52.25,34.44,113.2,
1998-05-11,88.06,24.94,50.94,37.94,,,,,69.69,32.19,77.06,17.06,53.0,49.38,,,47.25,35.5,30.5,57.75,,72.25,54.81,34.56,112.3,
1998-05-12,90.0,25.0,50.81,37.88,,,,,69.75,32.38,77.13,16.81,54.25,49.81,,,46.69,34.94,29.44,57.44,,75.25,54.5,34.31,113.8,
1998-05-13,90.25,25.5,51.19,38.19,,,,,70.69,32.0,77.0,16.63,54.375,49.81,,,46.5,34.5,29.31,57.31,,76.31,55.31,34.94,115.3,
1998-05-14,90.0,25.25,51.56,37.88,,,,,70.69,31.63,76.75,16.25,55.0,49.69,,,47.81,34.44,29.81,57.19,,76.0,54.94,34.63,114.7,
1998-05-15,88.69,25.06,50.31,37.69,,,,,70.63,31.88,76.44,16.38,53.25,49.25,,,46.0,34.5,29.94,56.88,,75.81,54.44,34.56,113.6,
1998-05-18,87.94,25.06,49.75,37.25,,,,,69.81,31.44,75.13,16.31,52.6875,49.06,,,46.06,34.5,28.63,55.0,,75.56,54.13,34.5,113.5,
1998-05-19,87.44,25.56,49.75,37.88,,,,,69.5,31.5,75.06,16.19,52.3125,49.0,,,46.44,34.44,28.06,55.13,,76.13,54.5,33.5,113.9,
1998-05-20,88.44,25.81,50.13,38.12,,,,,69.69,31.31,75.81,16.69,52.875,48.88,,,46.06,34.0,27.81,55.88,,75.44,54.69,32.63,114.19,
1998-05-21,88.31,25.38,50.25,38.06,,,,,69.13,31.44,75.63,17.38,51.8125,48.75,,,46.38,33.69,27.75,55.56,,75.44,54.13,33.69,115.3,
1998-05-22,88.0,25.38,51.06,37.63,,,,,69.13,31.75,75.19,17.13,50.75,48.44,,,45.75,33.25,27.44,54.13,,75.25,54.38,33.88,113.0,
1998-05-26,85.69,24.75,50.94,39.0,,,,,68.31,31.25,77.0,16.25,49.6875,48.31,,,47.0,32.31,26.38,53.13,,73.56,53.63,33.25,111.1,
1998-05-27,85.5,24.0,50.63,38.75,,,,,67.69,30.94,76.19,16.94,48.125,47.81,,,46.19,32.69,25.31,52.5,,72.44,52.75,32.5,113.2,
1998-05-28,86.94,24.0,51.25,39.63,,,,,67.0,31.06,76.94,16.75,46.9375,48.13,,,46.63,32.44,25.56,52.5,,73.5,53.94,33.31,114.5,
1998-05-29,87.0,24.31,51.81,39.44,,,,,67.0,30.88,76.44,16.75,46.0,48.0,,,46.0,32.5,24.94,51.5,,72.88,53.5,33.25,113.5,
1998-06-01,87.56,24.06,52.31,39.5,,,,,66.5,30.88,77.19,16.06,46.9375,48.25,,,45.88,32.69,23.88,50.19,,73.25,53.63,33.56,113.7,
1998-06-02,87.63,24.25,53.25,39.0,,,,,65.56,30.63,77.13,16.19,47.0,47.25,,,47.0,32.31,24.56,49.0,,74.13,52.25,33.44,113.7,
1998-06-03,87.63,23.94,52.13,38.88,,,,,65.0,30.44,76.81,16.25,47.0,46.56,,,45.69,32.06,24.63,49.56,,73.88,53.0,33.69,114.0,
1998-06-04,87.44,24.25,51.94,39.31,,,,,64.94,30.81,75.25,16.5,47.625,47.06,,,45.75,31.81,24.38,49.88,,73.19,52.25,33.44,114.6,
1998-06-05,87.0,24.69,53.06,40.06,,,,,66.75,31.13,76.0,16.94,47.4375,47.0,,,45.81,32.12,24.81,50.19,,75.0,51.38,33.25,113.9,
1998-06-08,87.81,24.44,53.69,40.38,,,,,66.44,31.19,75.75,17.44,47.75,47.63,,,45.94,31.94,26.13,51.0,,74.88,51.06,32.63,113.9,
1998-06-09,87.25,24.19,54.38,40.0,,,,,67.25,31.19,75.0,17.06,46.9375,47.38,,,45.81,32.25,25.19,51.06,,75.0,50.75,33.25,112.1,
1998-06-10,87.38,23.75,53.19,39.94,,,,,66.62,31.0,74.38,16.75,46.1875,47.31,,,45.81,30.12,24.81,49.62,,71.94,50.25,32.81,111.81,
1998-06-11,86.69,23.25,52.13,39.0,,,,,65.19,29.88,72.19,16.25,44.8125,45.19,,,44.25,30.44,22.88,48.25,,71.75,49.63,32.81,111.8,
1998-06-12,85.19,22.81,51.63,40.06,,,,,63.94,30.56,72.0,16.0,44.9375,45.0,,,43.69,30.88,22.69,46.75,,70.31,48.94,32.63,112.0,
1998-06-15,83.94,22.69,49.5,38.88,,,,,62.19,30.63,70.31,15.69,43.9375,44.69,,,43.25,30.5,21.88,46.56,,69.13,47.81,31.25,111.1,
1998-06-16,43.13,22.94,50.19,38.81,,,,,62.06,31.06,70.69,16.06,43.625,44.88,,,44.5,30.88,23.0,47.13,,69.75,46.88,32.06,111.0,
1998-06-17,43.5,22.5,50.44,40.0,,,,,63.94,31.31,71.06,16.69,44.5625,45.19,,,45.44,30.31,23.13,47.0,,69.56,40.5,32.75,114.5,
1998-06-18,43.31,21.81,52.0,40.31,,,,,63.81,31.63,70.63,15.44,44.1875,45.31,,,44.63,30.69,22.94,46.63,,69.25,38.25,30.81,113.4,
1998-06-19,39.94,22.0,52.06,40.0,,,,,62.75,30.94,69.13,15.25,44.0,44.69,,,43.44,30.88,23.31,46.75,,65.5,37.5,30.69,110.3,
1998-06-22,39.88,21.94,51.61,39.63,,,,,62.0,31.0,67.88,14.88,43.625,43.88,,,43.38,30.5,22.5,46.31,,63.63,37.0,30.63,110.4,
1998-06-23,40.38,21.81,52.44,39.0,,,,,61.25,31.25,67.81,15.0,43.4375,43.75,,,44.25,30.38,23.0,45.94,,65.81,37.94,31.69,107.7,
1998-06-24,40.56,21.88,52.5,39.06,,,,,61.94,31.69,69.0,15.0,43.5625,43.31,,,43.63,29.56,22.25,45.69,,66.38,37.06,31.94,105.0,
1998-06-25,39.56,22.0,53.13,38.94,,,,,61.69,31.5,68.31,15.13,43.25,43.19,,,43.94,29.69,22.75,44.75,,65.94,37.0,32.44,104.9,
1998-06-26,39.38,22.25,53.06,39.69,,,,,62.44,31.69,68.75,15.5,43.875,43.63,,,43.5,29.88,22.44,45.94,,66.75,36.44,32.38,105.1,
1998-06-29,38.88,21.94,52.75,39.75,,,,,62.0,31.94,68.63,15.19,42.875,43.81,,,43.31,29.5,22.19,45.81,,67.0,36.56,32.38,107.0,
1998-06-30,40.0,22.06,53.75,40.19,,,,,62.25,31.0,68.19,15.19,43.0,43.44,,,45.0,30.12,23.63,46.0,,69.56,36.75,33.13,106.7,
1998-07-01,38.75,23.06,55.0,40.56,,,,,61.38,31.06,68.88,15.06,43.3125,43.94,,,45.5,30.06,23.0,46.56,,70.0,35.94,33.25,109.2,
1998-07-02,38.13,23.31,54.75,42.94,,,,,62.25,31.25,68.5,15.13,43.375,43.5,,,44.44,30.19,22.81,46.13,,70.0,35.75,33.44,108.8,
1998-07-06,39.56,23.88,55.38,42.94,,,,,62.19,31.94,69.31,15.31,43.75,43.13,,,45.0,29.94,22.56,45.56,,70.5,35.25,34.06,110.3,
1998-07-07,39.63,23.88,56.19,43.75,,,,,61.5,30.75,67.88,15.69,43.5625,42.94,,,46.25,29.75,23.0,45.13,,70.06,36.06,33.56,110.4,
1998-07-08,39.44,25.0,56.69,43.5,,,,,60.63,32.13,68.13,15.44,43.75,42.0,,,46.06,29.5,22.44,45.19,,70.13,37.63,34.56,109.4,
1998-07-09,38.5,24.44,58.06,43.06,,,,,60.94,32.13,66.88,15.06,43.375,41.44,,,46.44,29.12,22.06,46.0,,67.94,37.75,33.63,110.1,
1998-07-10,37.88,24.19,58.13,43.25,,,,,60.88,32.69,67.06,14.94,43.3125,42.31,,,45.94,29.25,21.63,45.13,,68.19,39.75,34.25,109.5,
1998-07-13,37.69,23.38,57.75,43.31,,,,,60.06,31.88,65.5,15.13,42.875,41.63,,,46.0,29.44,21.69,44.75,,68.0,40.13,34.06,112.8,
1998-07-14,38.25,23.13,58.81,46.0,,,,,60.13,32.44,66.19,15.5,43.5625,41.25,,,45.0,29.06,22.0,45.69,,69.69,40.06,34.63,113.0,
1998-07-15,38.06,23.13,57.81,45.38,,,,,59.88,31.75,65.88,15.63,43.0,41.75,,,46.75,29.19,21.94,45.06,,70.0,40.75,34.63,116.0,
1998-07-16,38.0,22.94,57.69,45.75,,,,,59.5,32.5,65.88,16.06,44.8125,41.81,,,48.25,28.31,22.69,45.5,,68.75,40.69,34.38,120.6,
1998-07-17,38.25,23.13,56.94,45.19,,,,,60.25,31.75,64.56,16.19,45.25,41.56,,,48.06,27.88,23.31,45.13,,67.0,39.0,33.75,117.8,
1998-07-20,37.94,23.13,57.69,43.69,,,,,60.63,32.31,63.25,16.44,45.375,42.63,,,49.25,27.5,23.06,44.75,,67.5,38.94,33.44,118.6,
1998-07-21,37.63,22.5,59.06,43.5,,,,,59.75,32.31,63.75,16.13,45.375,43.19,,,49.5,27.25,22.75,43.19,,67.38,37.75,32.81,120.4,
1998-07-22,38.06,21.5,59.31,44.31,,,,,59.75,32.63,63.94,16.06,45.375,43.81,,,50.25,26.44,23.25,42.88,,66.75,37.88,32.94,119.9,
1998-07-23,37.25,21.75,58.75,43.81,,,,,59.13,32.06,64.0,15.94,44.0,43.56,,,50.38,25.12,22.0,39.75,,65.31,36.56,32.25,117.6,
1998-07-24,37.88,20.94,59.38,43.81,,,,,58.94,31.56,64.06,15.75,43.5,42.63,,,50.56,25.44,21.13,40.0,,65.5,36.88,32.06,116.9,
1998-07-27,38.0,20.88,60.75,43.75,,,,,57.88,32.31,64.31,15.19,43.9375,41.75,,,50.63,25.62,20.44,41.5,,64.75,39.94,32.31,116.4,
1998-07-28,37.0,20.19,60.13,43.63,,,,,57.06,31.63,63.31,15.5,42.9375,41.5,,,48.75,25.75,20.56,42.38,,64.94,38.31,31.31,115.4,
1998-07-29,37.19,20.25,59.94,43.5,,,,,57.5,31.38,64.38,15.0,42.3125,42.06,,,48.81,26.12,20.06,45.94,,64.19,39.75,30.81,114.6,
1998-07-30,36.5,20.25,60.0,43.75,,,,,57.94,32.0,64.94,15.06,43.625,42.56,,,48.94,26.06,20.06,44.81,,65.75,41.0,31.5,116.1,
1998-07-31,35.0,19.31,57.44,43.31,,,,,56.75,31.38,63.88,14.81,44.625,42.0,,,49.5,25.56,18.88,43.5,,63.38,40.0,31.88,115.0,
1998-08-03,34.94,19.75,57.13,42.75,,,,,57.0,31.19,64.13,14.5,45.0,41.94,,,47.56,25.0,17.88,42.94,,63.0,39.38,31.5,114.6,
1998-08-04,33.31,19.81,55.38,41.06,,,,,56.63,30.13,62.5,14.38,43.0,41.75,,,47.19,24.0,18.69,42.19,,61.94,40.63,30.13,111.3,
1998-08-05,33.5,19.44,56.31,40.88,,,,,56.5,29.88,62.81,15.0,43.0,42.63,,,47.81,24.31,18.38,42.25,,60.69,40.75,30.56,113.8,
1998-08-06,33.0,19.5,56.5,41.75,,,,,56.88,30.25,62.56,14.94,42.625,41.94,,,49.94,24.75,18.44,43.0,,61.13,40.31,30.75,118.3,
1998-08-07,33.75,20.13,56.69,42.13,,,,,57.31,30.13,62.94,14.81,43.25,41.38,,,50.69,24.88,18.31,43.56,,61.75,42.13,30.06,121.8,
1998-08-10,34.25,19.94,57.13,41.81,,,,,56.69,29.75,61.25,14.69,44.0625,41.31,,,49.88,24.44,17.94,43.69,,60.81,42.44,30.25,121.4,
1998-08-11,34.25,19.5,57.06,41.06,,,,,56.13,29.44,60.13,14.0,42.625,41.81,,,47.88,23.12,17.13,42.31,,59.31,41.19,30.19,118.6,
1998-08-12,35.0,19.13,58.31,44.19,,,,,57.31,29.63,60.63,13.5,43.125,42.44,,,47.94,23.0,16.56,42.0,,60.19,41.75,30.5,118.9,
1998-08-13,34.13,18.44,56.31,43.0,,,,,56.94,29.56,58.69,13.56,43.125,41.94,,,48.0,22.44,17.0,41.0,,59.06,41.5,29.81,115.8,
1998-08-14,33.88,18.44,54.63,43.38,,,,,55.56,29.63,55.5,13.38,41.75,41.88,,,47.44,22.25,16.88,40.19,,56.5,42.25,29.13,116.3,
1998-08-17,34.25,18.19,56.38,43.5,,,,,56.63,29.88,57.75,13.25,41.75,42.31,,,47.94,21.94,17.06,40.56,,58.75,42.19,28.75,116.9,
1998-08-18,34.94,18.5,57.13,44.06,,,,,57.06,29.69,58.38,13.13,42.8125,43.19,,,47.44,22.0,17.0,42.19,,59.56,42.69,29.0,116.6,
