,APC,APA,BHGE,COG,CVX,XEC,CXO,COP,DVN,FANG,EOG,XOM,HAL,HP,HES,HFC,KMI,MRO,MPC,NOV,NBL,OXY,OKE,PSX,PXD,SLB,FTI,VLO,WMB
1998-01-02,59.56,34.06,,19.0,77.94,,,48.0,38.38,,20.63,61.88,51.13,33.19,53.88,27.75,,33.94,,33.75,35.38,29.13,39.69,,28.69,80.69,,31.31,28.69
1998-01-05,58.06,33.13,,18.5,75.69,,,47.13,36.94,,20.0,61.19,47.88,31.25,53.0,27.69,,33.0,,33.0,35.38,28.81,39.13,,27.44,77.63,,31.31,29.19
1998-01-06,55.25,32.5,,17.75,73.75,,,45.19,37.94,,19.63,59.0,45.88,29.94,51.5,27.75,,32.25,,30.25,34.25,27.75,37.63,,27.44,74.81,,30.25,28.56
1998-01-07,56.56,32.19,,18.31,76.38,,,45.5,35.38,,19.81,60.88,47.94,30.13,52.69,27.5,,32.94,,32.94,34.38,27.63,37.06,,25.06,76.19,,30.0,27.94
1998-01-08,55.44,32.0,,18.0,73.5,,,44.56,34.0,,20.0,59.56,45.06,28.75,51.94,27.38,,32.31,,31.0,34.31,26.94,36.5,,24.63,73.63,,30.0,27.31
1998-01-09,54.81,31.44,,17.38,71.13,,,43.25,33.38,,19.06,58.13,42.38,25.31,49.19,26.75,,31.81,,29.88,32.94,26.0,33.88,,23.75,69.75,,28.75,26.94
1998-01-12,52.88,31.63,,17.06,73.31,,,43.56,33.0,,19.31,58.75,42.38,25.5,50.25,26.38,,31.75,,27.38,32.88,25.81,36.81,,23.25,69.56,,27.69,26.69
1998-01-13,56.31,31.88,,18.06,74.63,,,44.69,33.63,,19.75,60.06,44.13,27.31,52.5,26.25,,31.31,,27.0,33.81,26.56,36.38,,24.19,71.88,,28.13,27.13
1998-01-14,57.25,32.56,,18.63,75.5,,,45.0,34.19,,19.81,60.81,44.75,27.63,52.31,26.69,,31.94,,27.0,34.81,26.81,37.0,,24.25,73.63,,28.31,27.0
1998-01-15,56.31,32.5,,18.38,76.06,,,44.5,33.94,,20.0,59.5,44.75,27.31,52.88,27.44,,32.25,,26.69,35.06,27.0,36.5,,24.0,74.56,,28.38,26.63
1998-01-16,59.63,35.0,,19.38,76.75,,,44.88,35.25,,20.25,60.81,46.5,29.0,53.5,27.56,,32.69,,28.0,36.81,27.31,36.25,,24.0,77.94,,28.13,26.94
1998-01-20,61.25,36.31,,20.94,77.94,,,45.13,37.94,,20.81,60.88,48.5,30.31,54.63,27.44,,34.19,,29.44,37.06,27.13,36.38,,24.63,80.13,,28.88,26.94
1998-01-21,61.0,35.06,,19.63,77.0,,,44.81,36.75,,21.25,61.06,48.13,29.38,53.63,27.38,,33.87,,29.0,35.75,27.06,35.63,,24.31,81.5,,31.0,27.31
1998-01-22,56.06,33.0,,18.31,75.44,,,44.25,35.63,,20.31,59.56,43.5,28.88,53.0,27.06,,31.94,,24.81,34.0,26.31,35.63,,23.81,71.56,,30.75,28.5
1998-01-23,54.56,33.25,,18.75,74.0,,,43.75,35.63,,19.94,59.06,43.06,29.0,52.88,26.56,,31.62,,23.88,34.13,25.5,35.38,,22.63,70.25,,29.5,28.63
1998-01-26,56.94,33.5,,18.81,75.56,,,44.13,35.66,,19.88,60.25,44.0,28.0,54.56,26.69,,31.5,,25.0,34.75,25.56,35.63,,20.88,72.25,,30.63,28.56
1998-01-27,57.63,32.75,,18.75,76.44,,,44.81,34.81,,20.13,60.38,43.38,27.19,54.69,25.0,,32.25,,25.75,35.13,25.69,35.69,,21.63,71.88,,31.0,28.56
1998-01-28,58.0,34.06,,19.94,76.13,,,44.5,35.06,,20.06,59.19,45.44,26.56,54.38,25.62,,32.56,,25.94,35.56,25.38,34.81,,22.13,74.38,,31.75,28.56
1998-01-29,59.25,34.63,,20.0,76.94,,,43.5,35.88,,20.25,60.75,47.25,26.63,55.38,26.25,,33.5,,27.81,37.88,25.56,34.88,,21.94,76.06,,31.38,28.69
1998-01-30,59.0,33.13,,19.81,74.75,,,44.0,34.88,,20.0,59.31,44.94,25.56,54.69,26.12,,33.56,,26.5,36.38,25.5,34.19,,21.69,73.69,,31.56,28.5
1998-02-02,59.25,33.56,,19.75,75.63,,,44.81,34.56,,19.38,60.5,44.38,24.56,55.25,25.88,,33.5,,27.19,35.94,25.56,35.19,,21.31,73.31,,31.81,28.56
1998-02-03,61.25,32.94,,20.25,75.94,,,45.0,34.69,,19.63,60.81,44.5,25.75,56.5,26.12,,32.75,,28.19,36.06,25.81,36.38,,21.5,73.94,,32.5,29.0
1998-02-04,63.38,33.5,,20.31,76.0,,,45.19,34.38,,20.25,61.56,47.75,27.56,57.56,26.0,,34.06,,29.69,36.63,25.88,35.94,,21.31,76.75,,32.31,28.63
1998-02-05,64.44,34.13,,19.94,77.13,,,44.56,34.0,,20.5,61.94,48.69,28.25,57.63,26.12,,33.0,,31.38,37.31,25.88,36.63,,22.0,77.0,,33.06,28.56
1998-02-06,64.88,35.0,,20.25,77.69,,,44.81,34.44,,21.0,62.0,48.19,28.25,58.5,26.12,,33.44,,32.0,37.69,26.13,36.75,,22.38,76.88,,33.0,28.75
1998-02-09,62.69,34.94,,19.81,76.44,,,44.0,34.88,,20.81,62.0,47.0,28.31,57.75,26.25,,33.87,,31.38,36.69,25.81,35.56,,22.06,75.38,,33.25,29.31
1998-02-10,63.0,35.38,,20.31,75.5,,,45.0,35.75,,20.81,62.06,47.88,28.31,57.63,26.0,,33.06,,30.25,37.75,25.94,36.06,,23.13,76.06,,33.88,29.31
1998-02-11,62.81,34.38,,19.88,76.31,,,45.75,34.75,,20.56,62.69,47.88,28.25,56.75,25.94,,33.19,,29.5,38.0,25.81,36.13,,22.56,75.75,,33.81,30.0
1998-02-12,63.06,33.75,,20.0,77.38,,,46.19,34.69,,20.56,63.06,46.69,28.31,56.69,25.81,,32.87,,28.38,37.75,25.75,35.88,,22.44,75.19,,34.13,31.31
1998-02-13,64.0,34.19,,20.13,77.88,,,46.94,34.75,,20.56,63.13,47.75,29.0,56.5,26.25,,32.81,,29.44,36.94,25.81,35.5,,22.31,76.25,,34.0,31.75
1998-02-17,62.94,33.75,,20.31,77.44,,,47.06,33.63,,19.94,62.13,45.5,27.75,56.06,26.25,,32.56,,27.75,37.19,26.0,35.75,,22.13,73.69,,33.13,33.13
1998-02-18,64.81,34.38,,20.5,78.75,,,47.25,33.75,,20.38,63.81,46.25,28.94,57.0,26.12,,33.31,,28.25,37.69,26.13,36.0,,21.94,74.88,,34.19,32.81
1998-02-19,64.31,34.06,,20.44,78.38,,,47.0,34.0,,20.13,63.63,45.0,28.5,57.13,26.12,,32.25,,28.81,37.19,25.13,35.0,,22.0,75.38,,34.75,33.0
1998-02-20,64.44,34.0,,21.06,79.19,,,47.19,34.0,,20.25,64.31,44.88,28.19,56.94,26.38,,32.44,,28.38,37.5,25.31,35.0,,22.0,74.5,,35.06,34.25
1998-02-23,62.44,33.06,,20.13,77.0,,,46.13,33.69,,19.94,62.5,43.5,27.75,56.69,26.75,,32.12,,26.19,36.13,25.06,35.5,,21.88,72.06,,35.06,33.44
1998-02-24,62.31,33.06,,20.0,78.81,,,45.75,33.63,,20.25,62.75,42.94,27.31,57.63,26.62,,32.06,,26.31,36.31,25.13,35.31,,21.81,70.81,,35.06,33.13
1998-02-25,62.06,33.0,,20.0,79.5,,,46.63,33.56,,20.25,62.81,44.0,27.69,57.38,27.0,,32.0,,26.25,36.75,24.88,34.56,,22.06,73.63,,35.25,32.88
1998-02-26,63.94,34.0,,20.69,80.25,,,47.88,34.69,,21.19,63.06,46.5,29.88,58.56,26.88,,33.75,,27.0,38.25,25.13,35.63,,22.94,75.88,,36.0,32.88
1998-02-27,64.5,34.0,,21.0,80.88,,,49.0,34.13,,21.38,63.75,46.56,28.94,59.06,27.06,,34.56,,28.0,39.0,25.56,35.0,,23.69,75.63,,35.5,32.81
1998-03-02,65.69,34.13,,21.19,82.56,,,48.63,34.75,,21.88,63.5,47.75,29.88,59.56,27.25,,35.69,,28.63,38.81,25.5,35.13,,23.81,77.81,,36.44,32.44
1998-03-03,66.5,35.25,,21.44,83.75,,,49.94,35.44,,22.13,64.25,50.0,30.75,60.0,27.44,,36.37,,31.06,39.13,25.88,35.5,,24.06,78.94,,36.0,32.63
1998-03-04,65.75,34.56,,21.69,83.5,,,50.06,35.25,,22.0,63.44,48.56,30.0,59.75,27.0,,35.62,,31.44,38.5,26.13,35.56,,24.13,77.13,,35.06,32.56
1998-03-05,65.69,34.19,,21.31,84.56,,,49.88,34.5,,21.81,62.94,49.0,30.69,59.81,26.75,,35.06,,31.31,38.5,26.25,35.44,,24.0,76.0,,34.56,32.25
1998-03-06,64.75,33.5,,21.63,84.44,,,49.56,34.19,,21.25,62.75,48.13,29.25,59.69,26.75,,35.44,,30.44,37.44,25.81,35.81,,23.69,73.88,,34.13,32.38
1998-03-09,63.19,32.69,,21.31,81.94,,,48.5,34.69,,20.75,62.5,46.0,29.44,57.13,27.25,,34.12,,28.81,38.25,25.31,36.56,,22.75,71.06,,33.94,32.44
1998-03-10,63.5,33.19,,21.63,83.56,,,49.75,36.25,,21.31,63.44,47.0,29.13,57.56,27.38,,35.81,,29.38,39.13,26.0,36.94,,22.38,72.5,,34.44,33.25
1998-03-11,63.31,34.06,,21.13,84.0,,,49.75,36.5,,21.69,63.94,46.75,29.38,58.81,27.75,,35.81,,30.38,39.31,26.38,37.13,,22.38,71.5,,34.88,33.56
1998-03-12,62.81,33.75,,21.06,82.75,,,49.13,36.75,,22.06,63.88,45.88,29.44,58.56,27.38,,36.12,,30.25,39.06,27.0,38.06,,22.75,70.88,,35.06,33.5
1998-03-13,62.5,34.06,,21.0,82.88,,,49.0,36.94,,22.38,64.31,45.63,29.5,59.0,27.5,,35.5,,29.31,40.31,27.19,38.69,,23.0,71.63,,35.0,33.5
1998-03-16,61.31,34.5,,21.19,82.88,,,49.44,36.19,,21.25,64.19,44.44,29.06,59.25,28.0,,36.37,,28.88,40.13,27.81,39.81,,23.5,69.81,,34.81,32.56
1998-03-17,60.0,33.63,,20.0,82.06,,,48.19,35.13,,21.06,62.94,43.19,28.63,57.25,27.88,,35.87,,27.0,39.75,27.69,40.06,,23.63,67.13,,33.5,33.0
1998-03-18,62.19,34.5,,20.81,83.63,,,49.06,35.69,,21.75,64.62,44.94,29.75,57.94,27.75,,36.37,,27.44,41.81,28.25,38.31,,23.94,70.44,,34.13,32.94
1998-03-19,63.19,35.5,,20.94,83.81,,,49.69,35.38,,22.06,64.81,45.75,30.25,58.75,27.69,,36.75,,27.44,43.0,28.25,40.19,,24.94,71.63,,34.5,32.06
1998-03-20,65.31,36.31,,21.13,86.88,,,51.31,36.38,,22.31,67.12,48.13,31.06,59.5,27.5,,37.62,,29.06,44.44,29.25,40.81,,26.06,73.56,,34.94,32.0
1998-03-23,69.25,37.81,,21.75,86.88,,,52.19,39.5,,23.75,68.0,51.75,32.13,60.63,27.5,,38.56,,31.63,44.5,29.75,43.56,,26.56,78.13,,35.06,32.31
1998-03-24,67.75,37.06,,21.69,85.44,,,51.38,40.25,,22.88,68.37,50.75,31.69,60.06,27.5,,38.25,,31.38,43.13,29.81,41.5,,26.44,77.38,,33.75,31.88
1998-03-25,68.44,37.06,,21.0,83.81,,,50.63,40.44,,23.0,67.75,51.5,32.31,60.31,27.25,,37.12,,31.5,43.25,29.5,42.63,,25.13,78.5,,33.75,31.75
1998-03-26,69.0,37.31,,21.19,84.31,,,50.88,40.88,,23.0,68.19,52.44,32.5,60.63,27.12,,38.19,,34.0,42.63,29.38,42.13,,24.81,78.88,,33.75,31.25
1998-03-27,68.13,37.13,,21.13,83.0,,,50.88,39.0,,22.75,67.62,52.25,32.06,59.81,27.0,,37.5,,33.56,41.88,29.63,40.63,,24.88,78.0,,33.69,31.31
1998-03-30,68.5,37.31,,21.25,83.06,,,50.5,39.13,,22.88,67.94,50.75,31.56,59.06,27.06,,37.25,,32.81,42.0,29.31,40.38,,25.0,77.0,,33.81,31.56
1998-03-31,69.0,36.75,,22.63,80.31,,,49.94,38.88,,22.94,67.62,50.13,31.31,58.31,27.12,,37.62,,32.94,41.63,29.19,40.75,,25.0,75.75,,33.38,32.0
1998-04-01,71.5,37.94,,23.0,82.5,,,50.06,38.69,,23.56,68.94,52.19,33.25,58.38,27.25,,38.0,,34.38,42.56,28.94,41.06,,25.69,77.88,,35.13,33.0
1998-04-02,71.75,37.25,,22.75,83.44,,,51.25,38.25,,23.38,69.87,51.88,32.13,58.94,27.0,,38.5,,34.31,42.25,29.0,41.63,,25.25,77.25,,35.13,35.75
1998-04-03,71.63,36.94,,22.69,81.94,,,50.94,38.19,,23.38,69.19,52.06,32.31,58.06,27.19,,38.12,,33.94,42.38,28.81,41.5,,25.0,75.69,,34.88,34.5
1998-04-06,72.0,36.38,,22.94,80.13,,,50.38,37.13,,23.06,68.44,51.94,32.0,57.19,27.31,,38.12,,33.56,42.0,28.88,40.44,,24.38,74.75,,34.69,33.81
1998-04-07,72.06,36.19,,22.31,80.75,,,50.44,36.88,,23.5,67.75,50.38,31.75,55.94,27.19,,38.12,,33.56,42.0,29.0,39.81,,24.63,73.63,,34.19,33.25
1998-04-08,72.06,36.38,,22.5,79.06,,,49.63,37.69,,23.06,66.12,50.44,31.25,55.25,26.75,,37.19,,34.0,41.94,28.88,40.25,,24.5,74.13,,33.81,33.5
1998-04-09,72.94,37.13,,22.63,80.31,,,49.88,37.5,,23.81,66.75,49.88,31.06,55.5,27.25,,37.12,,35.0,41.94,29.0,40.19,,24.25,74.38,,33.88,33.69
1998-04-13,72.56,36.19,,22.38,78.88,,,49.63,36.5,,23.19,67.69,49.0,31.19,54.88,27.0,,36.75,,35.44,41.94,28.88,39.88,,24.19,73.0,,33.88,33.38
1998-04-14,73.0,36.31,,22.75,78.88,,,49.56,36.94,,23.38,67.19,49.38,31.5,55.94,26.62,,36.75,,36.94,42.63,29.0,41.25,,24.19,74.56,,33.5,33.5
1998-04-15,74.44,37.13,,22.63,80.06,,,50.06,37.25,,23.88,68.69,51.5,32.44,57.06,30.5,,37.5,,38.94,42.94,29.38,41.06,,24.13,78.5,,33.75,33.13
1998-04-16,75.0,36.44,,22.19,83.75,,,50.69,37.13,,23.06,70.31,50.5,31.81,58.19,32.88,,37.62,,37.88,42.75,29.63,40.13,,23.94,78.5,,33.5,32.19
1998-04-17,75.81,36.75,,22.81,83.38,,,50.56,37.38,,23.5,72.06,50.94,32.25,57.94,32.31,,38.37,,39.25,42.94,29.56,40.88,,24.38,77.56,,35.31,32.5
1998-04-20,74.75,36.5,,23.06,83.75,,,50.19,37.75,,23.5,72.94,50.69,32.0,57.94,32.19,,37.81,,39.19,42.88,29.38,40.75,,23.69,76.94,,34.69,32.63
1998-04-21,74.63,36.5,,23.88,84.94,,,50.13,37.88,,23.5,73.31,52.31,32.75,58.88,32.25,,38.06,,39.63,43.19,28.88,40.88,,24.06,80.63,,34.56,32.5
1998-04-22,73.69,36.06,,23.5,84.06,,,49.5,37.88,,23.13,72.94,53.31,32.94,58.06,31.12,,37.12,,39.19,42.81,28.69,40.63,,23.81,79.38,,34.31,32.38
1998-04-23,73.25,35.5,,23.13,84.25,,,48.69,37.5,,22.5,73.75,52.94,31.44,58.19,31.25,,36.5,,38.56,42.81,28.94,41.13,,23.56,79.0,,33.88,32.75
1998-04-24,72.81,34.88,,23.13,82.44,,,47.88,37.56,,22.5,73.5,52.31,30.81,57.31,31.0,,35.62,,37.31,43.06,28.94,39.88,,23.56,77.75,,33.75,32.25
1998-04-27,71.81,34.56,,22.19,83.38,,,48.75,36.5,,22.44,74.31,52.31,30.13,56.69,30.12,,35.5,,36.0,43.06,28.63,39.0,,23.5,76.94,,33.0,31.5
1998-04-28,71.94,34.38,,22.69,82.31,,,47.81,36.5,,22.81,73.37,52.38,30.5,56.88,31.0,,35.37,,37.25,42.81,28.94,38.56,,23.63,78.44,,32.81,30.81
1998-04-29,75.0,35.13,,23.31,83.25,,,48.56,39.06,,23.0,72.94,55.0,30.75,57.25,32.0,,36.31,,38.13,44.06,29.06,38.56,,24.06,83.44,,32.5,30.69
1998-04-30,73.06,35.38,,23.44,82.69,,,49.56,39.88,,23.38,73.06,54.75,30.5,57.5,31.56,,35.81,,37.94,43.13,29.44,40.5,,23.94,83.0,,32.38,31.81
1998-05-01,74.5,36.38,,23.69,86.38,,,50.31,39.88,,23.25,75.62,57.0,31.69,58.56,31.62,,37.12,,39.13,43.75,30.0,39.88,,24.25,85.56,,32.75,31.94
1998-05-04,74.38,36.31,,23.69,86.19,,,49.94,40.19,,23.13,74.75,55.88,31.06,58.0,31.0,,36.12,,37.69,43.94,29.69,39.56,,23.81,84.0,,32.38,32.06
1998-05-05,74.06,36.44,,23.63,86.19,,,49.44,40.19,,23.0,74.0,56.0,31.5,57.0,30.31,,35.75,,39.0,43.44,29.31,38.94,,24.38,84.5,,32.81,32.0
1998-05-06,73.5,35.56,,23.25,85.69,,,48.81,39.5,,22.31,74.44,55.25,30.25,57.25,30.19,,36.81,,38.63,42.5,29.25,40.13,,23.88,83.5,,33.38,31.0
1998-05-07,71.94,35.44,,23.13,84.5,,,48.06,38.38,,22.25,73.25,54.13,29.75,56.75,30.25,,36.12,,37.56,42.19,29.19,40.38,,23.56,81.5,,33.38,31.69
1998-05-08,72.0,35.88,,23.38,84.88,,,48.0,39.75,,22.5,73.19,54.06,29.69,57.0,30.25,,35.94,,39.25,42.38,29.31,40.56,,23.94,82.44,,34.19,31.56
1998-05-11,71.5,35.56,,22.69,85.0,,,49.44,38.94,,22.31,72.94,52.5,28.69,56.75,29.62,,36.0,,38.5,41.88,29.13,40.25,,23.75,82.0,,34.13,31.94
1998-05-12,71.25,34.69,,22.25,84.31,,,49.75,38.31,,22.0,73.81,52.0,28.63,57.13,29.38,,35.75,,39.31,41.94,29.06,40.31,,23.81,82.44,,33.75,31.88
1998-05-13,71.0,34.88,,22.19,84.56,,,49.81,39.13,,21.69,73.62,51.88,28.94,57.25,29.12,,36.0,,39.44,42.25,29.0,40.44,,23.75,82.44,,33.75,31.19
1998-05-14,69.94,34.56,,21.81,85.88,,,50.31,39.19,,20.88,73.62,51.88,28.88,57.31,28.88,,36.69,,39.06,41.75,29.13,39.19,,23.69,82.13,,33.44,31.25
1998-05-15,68.19,34.5,,21.5,85.0,,,50.56,38.94,,21.0,73.69,50.5,27.25,57.19,29.0,,36.37,,39.75,41.25,29.13,40.0,,23.5,81.69,,32.56,31.13
1998-05-18,67.25,34.44,,21.31,82.69,,,49.81,37.75,,21.13,72.56,50.13,26.63,56.25,28.88,,35.37,,37.25,40.63,28.81,40.44,,23.25,79.88,,32.19,31.06
1998-05-19,67.13,34.81,,21.75,82.19,,,51.19,38.5,,20.81,72.31,50.44,26.31,56.44,28.5,,35.37,,35.56,40.75,28.5,40.38,,23.19,80.0,,32.13,31.0
1998-05-20,66.94,35.06,,21.5,80.94,,,51.38,37.25,,21.0,71.25,49.94,26.31,55.25,27.75,,35.56,,33.75,39.88,28.69,40.56,,23.19,78.75,,32.0,31.5
1998-05-21,66.94,35.06,,21.31,80.75,,,50.88,37.38,,20.69,70.37,49.63,26.06,55.06,27.75,,35.25,,33.88,40.13,28.63,40.5,,23.06,79.19,,33.88,31.94
1998-05-22,66.81,35.75,,21.06,80.94,,,50.69,37.0,,20.69,70.56,49.31,25.81,54.5,27.88,,34.69,,34.5,40.0,28.38,40.25,,22.81,79.31,,34.0,32.81
1998-05-26,65.06,35.06,,20.5,79.13,,,49.94,36.44,,20.0,69.56,49.25,24.94,54.13,28.38,,33.75,,33.75,39.38,27.81,38.75,,22.88,77.56,,33.38,32.75
1998-05-27,65.13,34.25,,20.13,79.75,,,50.31,36.38,,19.69,70.37,48.56,25.19,53.81,27.75,,33.81,,33.63,38.75,28.0,37.88,,22.44,76.63,,32.19,32.06
1998-05-28,65.38,34.38,,20.25,80.25,,,50.44,36.31,,20.0,70.94,48.0,25.5,54.25,27.75,,35.0,,35.13,39.06,27.81,38.75,,22.81,77.5,,32.75,31.88
1998-05-29,66.0,34.19,,20.25,79.88,,,49.88,36.69,,20.31,70.5,47.5,25.25,54.06,27.38,,35.0,,34.94,39.06,27.63,39.06,,23.25,78.06,,32.63,32.44
1998-06-01,65.0,33.63,,20.19,79.0,,,49.13,36.56,,19.81,70.62,45.75,24.38,53.56,27.44,,33.81,,34.75,38.0,27.63,38.19,,22.94,74.88,,32.25,31.94
1998-06-02,65.0,33.38,,19.75,78.88,,,49.88,36.13,,19.94,69.94,45.0,24.88,53.25,27.25,,33.31,,34.94,38.63,27.38,37.69,,22.63,76.06,,32.44,31.69
1998-06-03,64.81,33.31,,19.88,78.94,,,49.44,36.13,,19.88,69.0,44.25,23.63,52.88,27.62,,33.37,,34.75,38.38,27.13,37.81,,22.63,74.06,,32.94,31.63
1998-06-04,66.5,34.06,,20.5,80.13,,,50.31,37.0,,19.88,70.31,45.81,25.06,53.88,27.88,,34.25,,35.94,38.69,26.88,37.56,,23.06,76.88,,34.19,31.13
1998-06-05,67.56,34.31,,20.81,82.5,,,51.75,37.94,,19.88,71.81,46.88,25.31,54.75,29.0,,35.12,,36.56,38.88,27.0,38.0,,23.0,79.13,,35.0,31.38
1998-06-08,66.25,33.63,,20.63,81.0,,,51.19,36.5,,19.44,71.19,46.75,24.63,53.88,29.75,,34.62,,34.88,37.63,26.38,38.75,,22.88,76.88,,34.69,31.56
1998-06-09,65.25,33.13,,19.63,80.0,,,50.75,35.69,,19.13,69.94,46.06,24.19,53.19,29.62,,33.94,,34.69,37.0,26.5,38.25,,22.75,74.81,,33.0,31.06
1998-06-10,64.62,32.25,,19.31,79.44,,,50.0,35.31,,18.62,68.81,44.69,23.06,52.5,29.5,,33.44,,32.75,35.88,26.12,36.81,,22.75,73.69,,32.56,31.0
1998-06-11,62.06,31.81,,19.06,78.06,,,48.56,34.38,,18.44,68.06,42.25,22.44,50.88,29.0,,33.37,,30.0,35.88,25.81,35.81,,22.13,70.81,,31.56,30.81
1998-06-12,62.5,31.56,,19.31,81.38,,,48.56,34.94,,19.0,69.31,43.88,22.94,51.31,28.69,,33.25,,31.19,36.0,26.0,36.88,,22.06,72.75,,31.81,31.0
1998-06-15,60.63,30.38,,18.94,79.44,,,48.38,33.56,,18.25,68.5,42.06,21.56,50.31,28.38,,32.19,,28.75,35.75,24.81,36.31,,21.69,68.81,,31.38,28.88
1998-06-16,61.75,31.0,,19.0,81.25,,,49.0,34.06,,18.25,69.56,43.19,22.25,51.0,28.0,,33.06,,27.31,36.38,25.38,36.69,,21.75,70.75,,32.19,29.13
1998-06-17,64.88,31.81,,19.13,83.69,,,50.44,34.13,,18.69,71.0,43.75,22.94,52.56,27.56,,34.37,,27.88,37.38,25.94,37.63,,22.38,72.69,,32.0,29.06
1998-06-18,63.81,31.19,,18.06,81.94,,,49.94,34.0,,18.44,70.75,42.38,21.88,51.25,26.75,,33.37,,26.44,37.06,26.19,37.19,,21.94,69.94,,31.81,29.88
1998-06-19,63.25,30.5,,19.19,81.31,,,49.13,34.0,,18.38,70.06,42.5,21.88,50.81,25.88,,33.56,,25.94,36.81,26.31,37.38,,21.75,66.25,,31.75,30.63
1998-06-22,65.94,31.0,,20.06,81.75,,,49.75,34.25,,19.25,70.62,43.88,23.13,52.0,26.0,,34.25,,27.5,37.44,26.44,37.31,,22.25,67.38,,31.75,30.44
1998-06-23,66.63,31.94,,20.19,84.06,,,49.88,35.13,,19.94,71.81,45.0,24.31,52.0,25.38,,34.44,,29.06,38.06,26.81,37.94,,22.81,68.0,,31.81,30.75
1998-06-24,67.0,32.06,,20.19,84.0,,,49.56,36.38,,20.19,72.44,45.0,24.0,52.06,26.0,,34.5,,28.25,37.25,26.88,38.5,,23.13,68.75,,32.06,31.13
1998-06-25,66.69,31.69,,20.06,84.19,,,49.19,35.25,,20.31,72.5,44.31,22.56,53.0,26.19,,34.44,,27.0,37.44,27.13,38.94,,23.06,67.56,,31.88,31.0
1998-06-26,67.0,31.5,,20.13,83.63,,,49.06,36.5,,20.25,72.25,43.25,22.75,52.81,25.94,,34.25,,26.0,37.69,27.19,39.38,,22.88,66.75,,32.38,32.06
1998-06-29,66.94,31.25,,19.69,82.5,,,48.38,36.69,,20.0,71.5,44.0,23.31,53.63,26.38,,34.25,,27.0,37.25,26.88,39.19,,23.0,67.94,,32.88,32.69
1998-06-30,67.19,31.5,,20.0,83.75,,,48.19,34.94,,20.25,71.37,44.44,22.44,54.31,25.75,,34.31,,26.81,38.0,27.0,39.88,,23.88,68.31,,33.25,33.75
1998-07-01,69.44,31.81,,20.44,84.94,,,48.88,36.19,,20.13,72.94,44.5,23.5,55.38,25.94,,36.25,,28.25,37.75,27.19,40.63,,23.88,67.06,,33.38,33.94
1998-07-02,34.81,32.13,,20.38,85.13,,,49.31,36.5,,20.19,72.87,45.0,24.19,55.25,25.75,,35.94,,29.13,38.0,27.13,39.56,,24.0,68.19,,32.88,33.81
1998-07-06,34.5,32.13,,19.69,84.63,,,49.5,36.19,,19.94,73.31,43.56,23.5,55.13,26.06,,36.0,,28.13,38.19,26.94,40.06,,24.25,67.81,,32.56,35.13
1998-07-07,33.44,31.69,,19.63,82.5,,,48.56,36.13,,19.5,72.75,42.44,22.75,54.38,25.88,,35.37,,26.44,37.31,26.25,40.38,,24.06,66.75,,32.0,34.63
1998-07-08,34.06,31.44,,19.88,83.19,,,48.75,36.06,,19.75,73.19,43.25,22.81,54.56,25.94,,35.62,,27.19,37.13,26.0,39.19,,23.94,67.56,,31.5,34.44
1998-07-09,32.81,30.63,,19.69,81.0,,,48.13,35.56,,19.5,71.75,42.44,22.44,54.06,24.88,,35.56,,26.0,36.38,25.81,38.81,,23.44,67.38,,31.13,33.81
1998-07-10,32.75,30.19,,19.5,81.88,,,48.06,34.5,,18.88,71.69,42.25,22.44,53.88,25.25,,35.37,,26.25,36.0,25.63,38.81,,23.06,67.31,,30.31,34.56
1998-07-13,31.94,29.31,,18.94,80.88,,,46.63,33.94,,17.94,70.5,41.0,21.81,52.5,26.0,,33.87,,24.94,34.94,25.44,38.63,,22.69,65.63,,30.25,34.69
1998-07-14,32.56,29.75,,18.94,82.19,,,47.94,35.0,,18.31,72.06,41.06,23.38,53.88,25.88,,34.75,,25.81,35.0,25.44,39.13,,22.63,67.69,,29.69,35.31
1998-07-15,33.56,29.88,,19.0,82.94,,,47.38,35.06,,17.94,71.62,42.38,24.38,54.38,25.81,,35.06,,26.5,35.31,25.56,38.44,,22.56,69.56,,29.44,36.13
1998-07-16,33.63,29.88,,18.88,83.13,,,47.75,34.94,,17.94,71.37,42.56,23.75,54.44,25.62,,34.94,,25.63,35.56,25.69,38.69,,22.63,68.69,,29.0,36.81
1998-07-17,32.81,29.44,,18.69,82.81,,,46.56,34.75,,17.94,72.37,42.0,24.19,54.19,25.5,,34.94,,25.94,35.44,25.5,38.06,,22.06,67.19,,28.69,36.06
1998-07-20,31.69,27.56,,18.75,82.0,,,47.0,34.94,,17.5,70.56,41.13,22.63,53.56,25.38,,34.25,,24.75,34.31,25.19,37.63,,21.81,64.88,,27.06,36.0
1998-07-21,31.44,27.63,,18.31,82.81,,,46.5,34.81,,17.06,70.19,40.31,22.0,53.69,25.19,,34.62,,24.63,34.0,24.69,37.31,,21.75,64.75,,26.5,34.38
1998-07-22,31.0,27.25,,17.88,84.13,,,46.69,34.31,,16.88,71.81,40.88,22.81,54.75,25.25,,35.0,,24.38,33.0,24.56,37.0,,21.38,65.69,,26.88,34.25
1998-07-23,30.06,26.31,,17.94,81.56,,,44.88,33.5,,16.88,70.12,37.88,21.63,52.56,25.25,,34.56,,22.94,32.44,23.75,36.56,,21.0,62.13,,27.25,33.88
